Name;ID;Content;Comments;Retweet;Likes
Salih Kalfa;salih_kalfa;"#StartAnArgumentIn4Words
#21NSomosTodos
#HBDtoKIHYUN
#???_??_??_???_?
#????_???_????_???
David Holmes
Fiona Hill
take me higher
????
ESMADpic.twitter.com/EtxsODypg3";;;2
?????????? ????;goldenxlou;This is happening in my country, the police has the order to attack civilians just because they’re doing a pacific protest... #21NSomosTodos pic.twitter.com/FAEZtMggN2;9;179;335
Bitterfck;Bitterfck1;#COLOMBIA #21NSomosTodos # #Bogotá The blockages continue to rise #ESMAD attacking his own people. pic.twitter.com/S8cL0cgtAm;3;39;63
laura #NuevaPartida -2;blazeguesnett;#21NSomosTodos stan dae guesnett follow @/daeguesnett pic.twitter.com/CSni8y7MGZ;;;
Maisa Patiño;FallenMaisa;"All the military and police chiefs getting together, monitoring the National Strike in an roundtable as if was a reality TV.
This is the people's Constitutional Right to shout all the horrible things done by a Government chosen by fools.

#ThursdayThoughts
#21NSomosTodos";1;7;19
Nikki Roach;niksroach;"* out of office response *

Today, I am exercising my rights as a global citizen to march with Colombians in protest of continued political inaction and irresponsibility. 

For the selva, the 247 environmental leaders lost, y más



#21NSomosTodos 
#21NParoNacional";3;22;129
Harvinvapi;Harvinvapi;Okey :v #21NSomosTodos pic.twitter.com/RMHNwlcyKq;4;6;41
???? ?????? ???????? ?????? ?????? ???????;StefaniaLora;#21NSomosTodos Medellín amanece en pie de lucha pic.twitter.com/oCIz1YGQM6;3;152;402
 ?? ??Manuel Alejandro ?? ?? ??;BudaNegro8;"666
This world shall know pain
666
pic.twitter.com/hDRpLOYwJi
_-_-_-_-_-_-_-_-_-_
#21NSomosTodos ""Autopista Sur"" #HoyNoMarchoPor #transmilenio #21Nov #paro21denoviembre ""ESMAD"" #YoParoEl21NSinMiedo #FelizJueves";;;
Bitterfck;Bitterfck1;#COLOMBIA This is the situation right now in #Bogotá, police repress protestors #ParoNacional #21Nsomostodos #MarchaenPaz #ESMAD #ParoNacional #ParoNacional21N #Paro21Noviembre #Paro21N pic.twitter.com/7EFdThjdjR;4;38;76
MiKo;Mi_Kolombia;"By trying to prevent #Colombia from plunging into the violence seen in #Bolivia, #Chile and #Ecuador, #Duque may be pushing the country head-long towards it. https://www.mikolombia.com/colombia-next-domino-fall-latin-spring/ … 
#ParoNacional #ParoNacional21N #21NSomosTodos #MarchaenPaz #HoyNoMarchoPor #ConstruirMasColombiapic.twitter.com/n6kxrRiHuc";;10;17
Sofi             ????;Malp4ridoLiam;MARCHEN POR LOS QUE NO PUDIMOS MARCHAR, ALCEN LA VOZ POR LOS QUE HOY NOS TUVIMOS QUE QUEDAR CALLADOS, LUCHEN POR LOS QUE POR ALGUNA RAZÓN NO PUDIMOS LUCHAR. #21NSomosTodos;7;682;1.5K
